x,y,N
-7.200069,-8.7999302,123
-7.2000227,-7.999959,123
-7.2000828,-7.1999442,121
-7.2000524,-6.3999601,121
-7.2000135,-5.5999492,121
-7.1999862,-4.8000094,122
-7.1999824,-4.000028,122
-7.2000621,-3.2000235,122
-7.2000726,-2.400036,112
-7.2000037,-1.6000631,112
-7.2000728,-0.80008904,135
-7.1999454,-1.9384264e-5,135
-7.1999735,0.79995796,135
-7.1999967,1.599994,166
-7.1999864,2.4000525,166
-7.1999911,3.1999739,166
-7.2000119,3.9999494,178
-7.1999217,4.8000831,178
-7.1999916,5.6000111,183
-7.2000835,6.3999008,190
-7.1999713,7.2000369,190
-7.1999631,8.0000623,203
-7.1999373,8.7999931,203
-7.1999579,9.5999556,263
-7.199953,10.400088,263
-7.2000273,11.200067,274
-7.1999401,12.000083,274
-7.1999216,12.800031,311
-7.2000138,13.599957,311
-7.2000831,14.399948,311
-7.2000318,15.19992,330
-7.2000261,16.000009,330
-7.1999196,16.799945,352
-7.2000369,17.600062,352
-7.2000803,18.400053,352
-7.1999796,19.20009,352
-7.2000983,19.99997,352
-6.3999587,-20.800025,157
-6.3999536,-19.999916,151
-6.399995,-19.200074,151
-6.3999977,-18.399951,151
-6.4000278,-17.600013,151
-6.4000243,-16.800072,151
-6.4000206,-15.999984,151
-6.4000588,-15.199942,151
-6.3999054,-14.399995,140
-6.4000519,-13.599995,139
-6.3999664,-12.799985,139
